customer_id,bad_flag_90plus_stmt6,net_loss_amount_usd
CUST106760,0,0.0
CUST102678,0,0.0
CUST108213,0,0.0
CUST109643,0,0.0
CUST106599,0,0.0
CUST102035,0,0.0
CUST106160,0,0.0
CUST105314,0,0.0
CUST100754,0,0.0
CUST102145,0,0.0
CUST100184,1,95.0
CUST104736,0,0.0
CUST109202,0,0.0
CUST102739,1,95.0
CUST101651,0,0.0
CUST103453,0,0.0
CUST101246,0,0.0
CUST103739,0,0.0
CUST103632,0,0.0
CUST106192,0,0.0
CUST107632,0,0.0
CUST100311,0,0.0
CUST102361,0,0.0
CUST106704,0,0.0
CUST101735,0,0.0
CUST101570,0,0.0
CUST108706,0,0.0
CUST100734,1,95.0
CUST109173,0,0.0
CUST109731,0,0.0
CUST107929,0,0.0
CUST109275,0,0.0
CUST103087,0,0.0
CUST104518,0,0.0
CUST105289,0,0.0
CUST101207,0,0.0
CUST108392,0,0.0
CUST106732,0,0.0
CUST108193,1,4258.69
CUST107990,0,0.0
CUST100595,0,0.0
CUST103586,0,0.0
CUST108736,0,0.0
CUST102666,0,0.0
CUST103552,0,0.0
CUST105729,0,0.0
CUST109246,0,0.0
CUST100890,0,0.0
CUST101930,0,0.0
CUST108314,0,0.0
CUST100607,0,0.0
CUST101567,0,0.0
CUST101072,0,0.0
CUST108627,0,0.0
CUST106451,1,95.0
CUST105458,1,2423.08
CUST100981,0,0.0
CUST100414,0,0.0
CUST106445,0,0.0
CUST101859,0,0.0
CUST104501,0,0.0
CUST105759,0,0.0
CUST105485,0,0.0
CUST103802,0,0.0
CUST107365,0,0.0
CUST108535,0,0.0
CUST101923,0,0.0
CUST106641,0,0.0
CUST105892,0,0.0
CUST105250,0,0.0
CUST108757,0,0.0
CUST106617,0,0.0
CUST102853,0,0.0
CUST100564,0,0.0
CUST100749,0,0.0
CUST104010,0,0.0
CUST101926,0,0.0
CUST107205,0,0.0
CUST104101,0,0.0
CUST108791,0,0.0
CUST107840,0,0.0
CUST102501,0,0.0
CUST109367,0,0.0
CUST101815,0,0.0
CUST102671,0,0.0
CUST107796,0,0.0
CUST109325,0,0.0
CUST105439,0,0.0
CUST106934,0,0.0
